,表決ID,會議ID,該會議第幾個表決,表決內容,票數,結果
362,08-01-YS-13-001,08-01-YS-13,001,"附表：
序
法
案
名
稱
1
台聯黨團擬具「陸海空軍軍官士官服役條例第三十三條及第三十四條條文修正草案」。
2
台聯黨團擬具「戰士授田憑據處理條例」廢止案。
3
台聯黨團擬具「農業發展條例第六十五條條文修正草案」。
4
台聯黨團擬具「共同管道法第二十一條條文修正草案」。
5
台聯黨團擬具「陸海空軍軍官士官服役條例第三十二條、第三十二條之一及第三十二條之二條文修正草案」。
6
黃文玲委員等24人「陸海空軍刑法第五十四條條文修正草案」。
7
黃文玲委員等24人「中華民國刑法第一百八十五條之三條文修正草案」。
在場委員94人，贊成者43人，反對者51人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 19, ""total"": 113, ""disagree"": 51, ""agree"": 43}",Not Passed
363,08-01-YS-11-009,08-01-YS-11,009,(四)台灣團結聯盟黨團、民進黨黨團及親民黨黨團提議，將本院台灣團結聯盟黨團擬具「總統副總統選舉罷免法第七十條條文修正草案」及林佳龍等25人擬具「總統副總統選舉罷免法第七十條條文修正草案」，自內政委員會抽出逕付二讀，並由台聯黨團及民進黨團共同召集協商，請公決案。經表決結果不予通過。在場委員98人，贊成者45人，反對者53人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 15, ""total"": 113, ""disagree"": 53, ""agree"": 45}",Not Passed
364,08-01-YS-11-008,08-01-YS-11,008,"(三)民進黨黨團、台灣團結聯盟黨團及親民黨黨團提議增列討論事項第1案為：
本院民進黨黨團擬具之「……本院基於捍衛國人健康，應即做成要求行政院對本國境內已上架之美國牛肉應下架、已在海關者予以封存，並同時暫停美國牛肉及產製品進口之決議」乙案，請公決案。經表決結果不予通過。在場委員97人，贊成者45人，反對者52人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 16, ""total"": 113, ""disagree"": 52, ""agree"": 45}",Not Passed
365,08-01-YS-11-007,08-01-YS-11,007,"(二)民進黨黨團、台灣團結聯盟黨團及親民黨黨團提議增列討論事項第1案為：
本院民進黨黨團擬具之「有鑑於100年國慶晚會夢想家音樂劇，僅演出兩場次卻耗資新台幣2.3億元，經費明顯偏高，且從計畫擬定、決策、招標等相關行政流程，弊病叢生，更有標案未決，已知得標對象之情況，顯有圖利特定藝文團體之虞。為踐行本院職責，發揮有效之監督，爰請院會依立法院職權行使法第45條第1項成立「100年國慶晚會夢想家音樂劇調閱委員會」乙案，請公決案。經表決結果不予通過。在場委員99人，贊成者45人，反對者54人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 14, ""total"": 113, ""disagree"": 54, ""agree"": 45}",Not Passed
366,08-01-YS-11-006,08-01-YS-11,006,"(一)國民黨黨團提議增列討論事項，其順序詳如附表：
案號
法
案
名
稱
1
本院財政委員會報告審查行政院函請審議「中華民國101年度中央政府總預算案（含附屬單位預算及綜計表—營業及非營業部分）」案。（未含經濟、社會福利及衛生環境委員會審查報告）
2
本院民進黨黨團，針對第8屆第1會期第9次會議議事日程所列報告事項第90案：親民黨黨團擬具「臺灣地區與大陸地區人民關係條例第十七條條文修正草案」、第93案：委員吳育昇等21人擬具「臺灣地區與大陸地區人民關係條例第十七條條文修正草案」、第94案：委員孫大千等20人擬具「立法院職權行使法第七十一條之一條文修正草案」、第110案：行政院函請審議「公共電視法修正草案」、第111案：考試院函請審議「公務人員考試法第十九條、第二十三條及第二十五條條文修正草案」等5案之決定，提起復議，請公決案。
3
本院台灣團結聯盟黨團，針對第8屆第1會期第9次會議議事日程所列報告事項第106案：行政院函請審議「內政部組織法修正草案」、「內政部警政署組織法草案」、「內政部消防署組織條例修正草案」、「內政部入出國及移民署組織法修正草案」、「內政部役政署組織法草案」、「內政部國土管理署組織法草案」、「內政部空中勤務總隊組織法修正草案」及「內政部建築研究所組織法草案」案之決定，提起復議，請公決案。
4
本院交通委員會報告審查交通部函請審議該部主管之「財團法人中華航空事業發展基金會、財團法人中華顧問工程司暨財團法人台灣敦睦聯誼會3家98年度預算書」案。
5
本院交通委員會報告審查交通部函送「財團法人台灣郵政協會、財團法人台灣電信協會、財團法人台灣網路資訊中心、財團法人中華航空事業發展基金會、財團法人中華顧問工程司暨財團法人台灣敦睦聯誼會等6家99年度預算書」案。
6
本院交通委員會報告審查國家通訊傳播委員會函送「財團法人電信技術中心及財團法人台灣網站分級推廣基金會99年度預算書」案。
7
本院交通委員會報告審查交通部函送「財團法人台灣郵政協會、財團法人台灣電信協會、財團法人台灣網路資訊中心、財團法人中華航空事業發展基金會、財團法人中華顧問工程司暨財團法人台灣敦睦聯誼會等6家100年度預算書」案。
8
本院交通委員會報告審查國家通訊傳播委員會函送「財團法人電信技術中心及財團法人台灣網站分級推廣基金會100年度預算書及相關資料」案。
9
本院財政委員會報告審查行政院金融監督管理委員會函送財團法人金融消費評議中心100年度預算書案。
10
本院交通委員會報告審查交通部函送「財團法人台灣郵政協會、財團法人台灣電信協會、財團法人台灣網路資訊中心、財團法人中華航空事業發展基金會、財團法人中華顧問工程司暨財團法人台灣敦睦聯誼會101年度預算書」案。
11
本院交通委員會報告審查國家通訊傳播委員會函送「財團法人電信技術中心及財團法人台灣網站分級推廣基金會101年度預算書」案。
12
本院外交及國防委員會報告審查外交部函送財團法人國際合作發展基金會、財團法人臺灣民主基金會及財團法人太平洋經濟合作理事會中華民國委員會101年度預算書案。
13
本院財政委員會報告審查行政院金融監督管理委員會函送財團法人台灣金融研訓院、財團法人汽車交通事故特別補償基金、財團法人住宅地震保險基金、財團法人保險安定基金、財團法人證券投資人及期貨交易人保護中心暨財團法人保險事業發展中心101年度預算書案。
14
本院財政委員會報告審查行政院金融監督管理委員會函送財團法人金融消費評議中心101年度預算書案。
15
本院外交及國防委員會報告審查行政院國軍退除役官兵輔導委員會函送「財團法人榮民榮眷基金會101年度預算書」案。
16
本院外交及國防委員會報告審查僑務委員會函送財團法人海華文教基金會及財團法人海外信用保證基金101年度預算書案。
17
本院交通委員會報告審查交通部函送「財團法人台灣電信協會、財團法人台灣郵政協會、財團法人台灣網路資訊中心、財團法人中華航空事業發展基金會、財團法人中華顧問工程司暨財團法人台灣敦睦聯誼會等6家98年度決算書」案。
18
本院交通委員會報告審查國家通訊傳播委員會函送「財團法人電信技術中心及財團法人台灣網站分級推廣基金會98年度決算書」案。
19
本院交通委員會報告審查國家通訊傳播委員會函送「財團法人電信技術中心及財團法人台灣網站分級推廣基金會99年度決算書（含勘誤表）」案。
20
本院交通委員會報告審查交通部函送「財團法人台灣電信協會、財團法人台灣郵政協會、財團法人台灣網路資訊中心、財團法人中華航空事業發展基金會、財團法人中華顧問工程司暨財團法人台灣敦睦聯誼會等6家99年度決算書」案。
21
本院司法及法制委員會報告審查行政院函請審議廢止「監獄組織通則」、「看守所組織通則」、「法務部戒治所組織通則」、「法務部技能訓練所組織條例」及「法務部矯正人員訓練所組織條例」案。
22
本院外交及國防委員會報告併案審查本院委員馬文君等25人擬具「兵役法施行法第四十三條條文修正草案」案及行政院函請審議「兵役法施行法部分條文修正草案」案。
23
本院教育及文化、財政兩委員會報告併案審查行政院函請審議「運動彩券發行條例部分條文修正草案」、委員蔣乃辛等29人擬具「運動彩券發行條例第十三條及第二十三條條文修正草案」及委員黃志雄等21人擬具「運動彩券發行條例第十三條、第二十二條及第二十三條條文修正草案」案。
24
一、本院委員吳秉叡等30人，建議咨請總統赴立法院進行國情報告，是否有當？請公決案。
二、本院民進黨黨團、親民黨黨團及台灣團結聯盟黨團，為釐清政策，安定民心與團結社會，依憲法增修條文第四條第三項及立法院職權行使法第二章之一，擬邀請總統馬英九先生至本院做國情報告，請公決案。
25
本院親民黨黨團要求行政院須依法行政，除不得將違法制定並於4月12日宣布之無效電價費率公告實施外，更應遵照國營事業管理法及相關規定訂定費率。至若有窒礙難行情事者，行政院亦應於全面重新檢討各項公用事業計算公式後，儘速向本院重送計算公式或替代方案審議，待本院通過新公式或新方案後，再行依法調整各項公用事業費率，是否有當？請公決案。
26
本院親民黨黨團，建請本院做成如下決議：「行政院須立即停止一切與宣傳瘦肉精（萊克多巴胺）無害之相關議題宣導，並將至今一切已執行之相關預算及措施彙整送立法院審查」。
27
本院國民黨黨團鑒於近來美國發生第四例狂牛症（BSE）的案例，導致人民心理恐慌，影響人民食的安全，因此本黨團建議，如美國一旦遭到世界動物衛生組織（OIE）降等，台灣應全面禁止美牛進口，以維護人民食的安全，捍衛國人健康。是否有當，敬請公決。
28
本院社會福利及衛生環境委員會報告併案審查行政院函請審議「食品衛生管理法第十一條、第十七條之一及第三十一條條文修正草案」、本院委員黃昭順等27人擬具「食品衛生管理法部分條文修正草案」、親民黨黨團擬具「食品衛生管理法第十一條條文修正草案」、委員吳秉叡等33人擬具「食品衛生管理法第十一條條文修正草案」、委員鄭汝芬等25人擬具「食品衛生管理法第十一條及第三十一條條文修正草案」、委員潘孟安等20人擬具「食品衛生管理法第十一條條文修正草案」、委員管碧玲等29人擬具「食品衛生管理法第十一條條文修正草案」、民進黨黨團擬具「食品衛生管理法第十一條及第三十一條條文修正草案」、委員林世嘉等21人擬具「食品衛生管理法第十一條條文修正草案」、委員楊麗環等28人擬具「食品衛生管理法第十一條及第三十一條條文修正草案」、委員陳歐珀等18人擬具「食品衛生管理法第十七條及第十七條之一條文修正草案」、委員陳亭妃等23人擬具「食品衛生管理法第十一條及第二十七條條文修正草案」、委員劉建國等23人擬具「食品衛生管理法部分條文修正草案」、委員邱志偉等20人擬具「食品衛生管理法增訂第十九條之一及第三十二條之一條文草案」、委員姚文智等26人擬具「食品衛生管理法第二十四條及第二十九條條文修正草案」、委員羅淑蕾等31人擬具「食品衛生管理法第十一條及第三十一條條文修正草案」、委員尤美女等16人擬具「食品衛生管理法部分條文修正草案」、委員田秋堇等17人擬具「食品衛生管理法第十一條條文修正草案」、委員蔡錦隆等29人擬具「食品衛生管理法第十七條之一條文修正草案」、委員陳其邁等20人擬具「食品衛生管理法第二十九條條文修正草案」及委員江惠貞等25人擬具「食品衛生管理法第十七條條文修正草案」等21案。
在場委員100人，贊成者55人，反對者45人，多數通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 13, ""total"": 113, ""disagree"": 45, ""agree"": 55}",Passed
367,08-01-YS-11-005,08-01-YS-11,005,"國立故宮博物院函，為101年度中央政府總預算決議，檢送第8目「一般建築及設備」第1節「營建工程」中「其他房屋及公共設施更新」之「辦理大故宮計畫」凍結500萬元預算解凍書面報告，請查照案。
在場委員97人，贊成者52人，反對者45人，多數通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 16, ""total"": 113, ""disagree"": 45, ""agree"": 52}",Passed
368,08-01-YS-11-004,08-01-YS-11,004,"(三)台灣團結聯盟黨團提議增列報告事項共3案：
本院台灣團結聯盟黨團擬具之「陸海空軍軍官士官服役條例第三十三條及第三十四條條文修正草案」、本院台灣團結聯盟黨團擬具之「就業服務法第三十八條條文修正草案」及本院台灣團結聯盟黨團擬具之「促進民間參與公共建設法第三條條文修正草案」（案號交由議事處調整）經表決結果不予通過。在場委員96人，贊成者45人，反對者51人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 17, ""total"": 113, ""disagree"": 51, ""agree"": 45}",Not Passed
369,08-01-YS-11-003,08-01-YS-11,003,"附表：
法
案
名
稱
提案人
社會救助法部分條文修正草案。
林佳龍
中華民國刑法第一百八十五條之三條文修正草案。
趙天麟
環境資源部組織法草案。
田秋堇
立法院程序委員會組織規程第五條條文修正草案。
李應元
政黨法草案。
民進黨
政黨及其附屬組織取得財產清查及處理條例草案。
民進黨
陸海空軍軍官士官服役條例第三十四條條文修正草案。
陳亭妃
日治時期日本政府國庫券及債券處理條例草案。
陳亭妃
難民法草案。
蕭美琴
國家安全法第九條條文修正草案。
鄭麗君
在場委員96人，贊成者45人，反對者51人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 17, ""total"": 113, ""disagree"": 51, ""agree"": 45}",Not Passed
370,08-01-YS-11-002,08-01-YS-11,002,"三、本院台灣團結聯盟黨團，針對第9次會議報告事項第一○六案行政院函請審議「內政部組織法修正草案」、「內政部警政署組織法草案」、「內政部消防署組織條例修正草案」、「內政部入出國及移民署組織法修正草案」、「內政部役政署組織法草案」、「內政部國土管理署組織法草案」、「內政部空中勤務總隊組織法修正草案」及「內政部建築研究所組織法草案」之決定，提出復議，請公決案。
決議：台灣團結聯盟黨團所提復議案不通過，本案所列各案均照第9次會議原作決定通過。【經在場委員100人，贊成復議案通過者42人，反對者58人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 13, ""total"": 113, ""disagree"": 58, ""agree"": 42}",Not Passed
371,08-01-YS-11-001,08-01-YS-11,001,"二、本院民進黨黨團，針對第9次會議報告事項第九十案親民黨黨團擬具「臺灣地區與大陸地區人民關係條例第十七條條文修正草案」、第九十三案委員吳育昇等21人擬具「臺灣地區與大陸地區人民關係條例第十七條條文修正草案」、第九十四案委員孫大千等20人擬具「立法院職權行使法第七十一條之一條文修正草案」、第一一○案行政院函請審議「公共電視法修正草案」及第一一一案考試院函請審議「公務人員考試法第十九條、第二十三條及第二十五條條文修正草案」之決定，提出復議，請公決案。
決議：民進黨黨團所提復議案不通過，本案所列各案均照第9次會議原作決定通過。【經在場委員101人，贊成復議案通過者42人，反對者59人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 12, ""total"": 113, ""disagree"": 59, ""agree"": 42}",Not Passed
372,08-01-YS-09-002,08-01-YS-09,002,"(二)國民黨黨團提議增列討論事項第2案為：本院民進黨黨團，針對第8屆第1會期第2次會議報告事項第四十三案行政院函請審議「大陸委員會組織法草案」，院會所作決定，提請復議，請公決案。增列討論事項第3案為：本院外交及國防委員會報告審查僑務委員會函送財團法人海華文教基金會及財團法人海外信用保證基金101年度預算書案，其餘討論事項建議順序詳如附表：
案號
法
案
名
稱
1
本院財政委員會報告審查行政院函請審議「中華民國101年度中央政府總預算案（含附屬單位預算及綜計表—營業及非營業部分）」案。（未含經濟、社會福利及衛生環境委員會審查報告）
2
本院民進黨黨團，針對第8屆第1會期第2次會議議事日程草案所列報告事項第43案：「行政院函請審議『大陸委員會組織法草案』」之決定，提起復議，請公決案。
3
本院外交及國防委員會報告審查僑務委員會函送財團法人海華文教基金會及財團法人海外信用保證基金101年度預算書案。
4
本院交通委員會報告審查交通部函請審議該部主管之「財團法人中華航空事業發展基金會、財團法人中華顧問工程司暨財團法人台灣敦睦聯誼會3家98年度預算書」案。
5
本院交通委員會報告審查交通部函送「財團法人臺灣郵政協會、財團法人台灣電信協會、財團法人台灣網路資訊中心、財團法人中華航空事業發展基金會、財團法人中華顧問工程司暨財團法人台灣敦睦聯誼會等6家99年度預算書」案。
6
本院交通委員會報告審查國家通訊傳播委員會函送「財團法人電信技術中心及財團法人台灣網站分級推廣基金會99年度預算書」案。
7
本院交通委員會報告審查交通部函送「財團法人台灣郵政協會、財團法人台灣電信協會、財團法人台灣網路資訊中心、財團法人中華航空事業發展基金會、財團法人中華顧問工程司暨財團法人台灣敦睦聯誼會等6家100年度預算書」案。
8
本院交通委員會報告審查國家通訊傳播委員會函送「財團法人電信技術中心及財團法人台灣網站分級推廣基金會100年度預算書及相關資料」案。
9
本院財政委員會報告審查行政院金融監督管理委員會函送財團法人金融消費評議中心100年度預算書案。
10
本院交通委員會報告審查交通部函送「財團法人台灣郵政協會、財團法人台灣電信協會、財團法人台灣網路資訊中心、財團法人中華航空事業發展基金會、財團法人中華顧問工程司暨財團法人台灣敦睦聯誼會101年度預算書」案。
11
本院交通委員會報告審查國家通訊傳播委員會函送「財團法人電信技術中心及財團法人台灣網站分級推廣基金會101年度預算書」案。
12
本院外交及國防委員會報告審查外交部函送財團法人國際合作發展基金會、財團法人臺灣民主基金會及財團法人太平洋經濟合作理事會中華民國委員會101年度預算書案。
13
本院財政委員會報告審查行政院金融監督管理委員會函送財團法人台灣金融研訓院、財團法人汽車交通事故特別補償基金、財團法人住宅地震保險基金、財團法人保險安定基金、財團法人證券投資人及期貨交易人保護中心暨財團法人保險事業發展中心101年度預算書案。
14
本院財政委員會報告審查行政院金融監督管理委員會函送財團法人金融消費評議中心101年度預算書案。
15
本院外交及國防委員會報告審查行政院國軍退除役官兵輔導委員會函送「財團法人榮民榮眷基金會101年度預算書」案。
16
本院交通委員會報告審查交通部函送「財團法人台灣電信協會、財團法人台灣郵政協會、財團法人台灣網路資訊中心財團法人、財團法人中華航空事業發展基金會、財團法人中華顧問工程司暨財團法人台灣敦睦聯誼會等6家98年度決算書」案。
17
本院交通委員會報告審查國家通訊傳播委員會函送「財團法人電信技術中心及財團法人台灣網站分級推廣基金會98年度決算書」案。
18
本院交通委員會報告審查國家通訊傳播委員會函送「財團法人電信技術中心及財團法人台灣網站分級推廣基金會99年度決算書（含勘誤表）」案。
19
本院交通委員會報告審查交通部函送「財團法人台灣電信協會、財團法人台灣郵政協會、財團法人台灣網路資訊中心、財團法人中華航空事業發展基金會、財團法人中華顧問工程司暨財團法人台灣敦睦聯誼會等6家99年度決算書」案。
20
本院司法及法制委員會報告審查行政院函請審議廢止「監獄組織通則」、「看守所組織通則」、「法務部戒治所組織通則」、「法務部技能訓練所組織條例」及「法務部矯正人員訓練所組織條例」案。
21
一、本院委員吳秉叡等30人，建議咨請總統赴立法院進行國情報告，是否有當？請公決案。
二、本院民進黨黨團、親民黨黨團及台灣團結聯盟黨團，為釐清政策，安定民心與團結社會，依憲法增修條文第四條第三項及立法院職權行使法第二章之一，擬邀請總統馬英九先生至本院做國情報告，請公決案。
22
本院親民黨黨團要求行政院須依法行政，除不得將違法制定並於4月12日宣布之無效電價費率公告事實外，更應遵照國營事業管理法及相關規定訂定費率。至若有窒礙難行情事者，行政院亦應於全面重新檢討各項公用事業計算公式後，儘速向本院重送計算公式或替代方案審議，待本院通過新公式或新方案後，再行依法調整各項公用事業費率，是否有當？請公決案。
23
本院親民黨黨團，建請本院做成如下決議：「行政院須立即停止一切與宣傳瘦肉精（萊克多巴胺）無害之相關議題宣導，並將至今一切已執行之相關預算及措施彙整送立法院審查」。
在場委員87人，贊成者45人，反對者41人，棄權者1人，多數通過；並採記名表決方式，表決結果名單附後","{""abstain"": 1, ""not_voting"": 26, ""total"": 113, ""disagree"": 41, ""agree"": 45}",Passed
373,08-01-YS-09-001,08-01-YS-09,001,"二、討論事項：
(一)民進黨黨團、親民黨黨團及台灣團結聯盟黨團提議增列討論事項第1案為：本院民進黨黨團、親民黨黨團、台聯黨團，有鑑於美國境內再度發生狂牛症（牛海綿狀腦病，BSE）病例，全世界因食用帶有此種感染力的牛組織而罹患新型庫賈氏症（vCJD）致死者已有200多人；根據國家衛生研究院所做健康風險評估報告，有高達98%的台灣人帶有此種易感染基因，相較歐美國家人種帶因比例約40%至50%，台灣人感染機率是歐美人種的二倍；為避免國人健康曝露在高風險狀況，政府有義務以嚴格標準來衡量進口牛肉的安全性。世界貿易組織食品檢驗與動植物檢疫協定（SPS）第五條第七款賦予會員國食品安全主權，必要時可採取預防性措施，印尼政府已宣布暫停美國牛肉進口，但反觀馬政府，卻毫無作為。本院基於捍衛國人健康，應即做成要求行政院對本國境內已上架之美國牛肉應下架、已在海關者予以封存，並同時暫停美國牛肉及產製品進口之決議，請公決案。在場委員88人，贊成者44人，反對者44人，可否同數，並採記名表決方式，表決結果名單附後","{""abstain"": 0, ""not_voting"": 25, ""total"": 113, ""disagree"": 44, ""agree"": 44}",Not Passed
374,08-01-YS-07-003,08-01-YS-07,003,三、親民黨黨團、民進黨黨團及台灣團結聯盟黨團提議討論事項增列「親民黨黨團、民進黨黨團、台灣團結聯盟黨團要求行政院須依法行政，除不得將違法制定並於4月12日宣布之無效電價費率公告事實外，更應遵照國營事業管理法及相關規定訂定費率。至若有窒礙難行情事者，行政院亦應全面重新檢討各項公用事業計算公式後，儘速向本院重送計算公式或替代方案審議，待本院通過新公式或新方案後，再行依法調整各項公用事業費率。」，經表決結果不予通過。在場委員91人，贊成者40人，反對者51人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 22, ""total"": 113, ""disagree"": 51, ""agree"": 40}",Not Passed
375,08-01-YS-07-002,08-01-YS-07,002,二、民進黨黨團、台灣團結聯盟黨團及親民黨黨團提議討論事項增列第1案「本院民進黨黨團、親民黨黨團、台灣團結聯盟黨團，有鑑於近來瘦肉精牛肉開放、禽流感疫情遭隱匿致擴散造成業者損害、油價上漲帶動物價波動影響消費民生、健保新制因繳費不公引發爭論、賦稅及居住政策之決行充滿不正義及一國兩區之憲政詮釋等重大事項，因政府施政手段與決策過程備受爭議，造成國內民心不安、社會動盪。然前述施政，涉及國家定位、外交談判、民生安定等重大國家安全事項，率皆與總統職權相關，為釐清政策，安定民心與團結社會，爰依憲法增修條文第四條第三項、立法院職權行使法第二章之一，邀總統馬英九先生至本院做國情報告。」，經在場委員90人，贊成者39人，反對者51人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 23, ""total"": 113, ""disagree"": 51, ""agree"": 39}",Not Passed
376,08-01-YS-07-001,08-01-YS-07,001,"壹、本次會議議事日程照議事處編擬草案處理。【依本會期歷次經黨團協商處理成例，同意民進黨黨團、親民黨黨團及台灣團結聯盟黨團對議事日程草案提出異議進行表決，經表決結果均不予通過：
一、民進黨黨團提議報告事項增列第116案民進黨黨團擬具之「政黨法草案」、第117案民進黨黨團擬具之「政黨及其附屬組織取得財產清查及處理條例草案」、第118案委員葉宜津等擬具之「兒童及少年扶養津貼條例草案」、第119案委員李應元等擬具之「立法院程序委員會組織規程第五條條文修正草案」、第120案委員陳亭妃等擬具之「陸海空軍軍官士官服役條例第三十四條條文修正草案」，經在場委員92人，贊成者39人，反對者52人，棄權者1人，少數不通過；並採記名表決方式，表決結果名單附後","{""abstain"": 1, ""not_voting"": 21, ""total"": 113, ""disagree"": 52, ""agree"": 39}",Not Passed
377,08-01-YS-05-001,08-01-YS-05,001,壹、本次會議議事日程照議事處編擬草案處理。【依本會期歷次經黨團協商處理成例，同意就親民黨黨團對議事日程草案提議增列討論事項進行表決，經表決結果不予通過。在場委員42人，贊成者11人，反對者31人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 71, ""total"": 113, ""disagree"": 31, ""agree"": 11}",Not Passed
378,08-01-YS-04-001,08-01-YS-04,001,壹、本次會議議事日程照議事處編擬草案處理。【黨團協商同意就台灣團結聯盟黨團對議事日程草案提議增列討論事項進行表決，經表決結果不予通過。在場委員44人，贊成者11人，反對者33人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 69, ""total"": 113, ""disagree"": 33, ""agree"": 11}",Not Passed
379,08-01-YS-03-001,08-01-YS-03,001,壹、本次會議議事日程照議事處編擬草案處理。【黨團協商同意就台灣團結聯盟黨團對議事日程草案提議增列討論事項進行表決，經表決結果不予通過。在場委員54人，贊成者18人，反對者36人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 59, ""total"": 113, ""disagree"": 36, ""agree"": 18}",Not Passed
